term,definition
態度,對人、事、物或觀念，所產生的正向、負向或綜合的反應。
態度量表,一種包含多種題項的問卷，其設計是用來測量個人對某事物的態度。
假管線,一種假的測謊裝置，有時候用來獲取應答者對於敏感性問題的真實答案。
臉部肌電儀,一種電子儀器，用來記錄和情緒與態度有關的臉部肌肉活動。
內隱態度,個體自己沒有覺察到的一種態度，例如偏見。
內隱連結測驗,對潛意識態度的隱藏式測量，從人們對於配對概念的反應速度推知，像是黑或白和好或壞。
制約評價,我們對一中性刺激，因它與正向或負向的人、地或物的關聯，而形成某種態度的歷程。
計畫行為理論,對特定行為的態度、主觀規範、和知覺到的控制，三者一起影響人們的行為。
說服,態度被改變的過程。
說服的中央路線,對一個溝通訊息經過仔細思考，並且被該主張的優點所影響的過程。
說服的周邊路線,對一個溝通訊息沒有經過仔細思考，反而被表面現所影響的過程。
深思熟慮,思考和詳閱一個說服性溝通中內涵論點的過程。
睡眠者效應,一個不可靠來源的說服性訊息，延宕增加其影響力的現象。
認知需求,一種性格變項，用以區分人們樂於投入認知活動的程度。
免疫假說,先暴露於一個薄弱的說服性論點，將會增強後續對該論點的抗拒。
心理抗拒,一種理論，當人們的自由受到威脅時，會藉由自我肯定而與之對抗，且將受到威脅的自由視為更具有吸引力。
認知失調理論,主張不一致的認知會引起心理上的緊張，使人們產生降低該緊張的動機。
辯證不足,人們在沒有得到很大的酬賞之下，自由表現出一個與態度矛盾的行為。
阻嚇不足,人們忍著不參與一個渴望的活動，即使可能只會帶來輕微的處罰時。
從眾,改變我們的知覺、意見或行為方式、以和團體規範一致的傾向。
訊息性影響,當個體相信其他人的判斷為正確時，會受影響而產生從眾行為。
規範性影響,當個體害怕因為表現偏離常態而造成負向的社會結果，因而受影響產生從眾行為。
私下從眾,個體私底下接受別人主張的一種信念改變。
公開從眾,因為真實的或想像的團體壓力，個體在可見行為做表面上的改變，而看法上並沒有相對應的改變。
少數人的影響,異議者在團體內造成改變的過程。
個人特質信用,個體藉遵行團體規範而獲得的人際間信用。
個人主義,以獨立、自主、和自給自足優先於團體忠誠的一種文化傾向。
集體主義,一種互賴、互助和社會和諧優先於個人目標的文化取向。
順從,被直接要求而引發的行為改變。
得寸進尺法,一種二步驟的要求順從技巧，影響者將真正的要求分兩階段提出，第一個階段先提出一個比較小的要求。
低飛球法,一種二步驟的要求順從技巧，影響者先讓對方同意一個要求，接著藉由透露隱藏的代價，以提高該要求的量。
以退為進法,兩階段的說服技巧，在提出真正的要求之前，先提出一個非常大而一定會被拒絕的要求。
不僅如此法,一種兩個步驟的要求順從技巧，影響者先提出一個誇張的要求，然後藉由提供折扣或額外的好處，降低此要求表面上看起來的量。
服從,因為權威者的命令而產生的行為改變。
社會衝擊理論,社會影響取決於和受影響者有關的影響者之力量、直接性和數量。
團體,彼此互動一段時間、且分享共同命運、目標或認同的一組個體
團體凝聚力,一種迫使團體成員緊密相聚的力量，像是透過親密、一體的感受，及認同團體目標。
社會助長,對於簡單的任務，他人在場會提高個體的表現，但對於困難的任務，他人在場會削弱個體的表現。
純在場理論,僅只要其他人的在場，便足以產生社會助長作用。
評估焦慮論,主張唯有當其他人被視為潛在的評估者時，其他人在場才會產生社會助長作用。
分心-衝突理論,主張唯有當其他人會使個體從任務中分心並造成注意力的衝突時，其他人在場才會產生社會助長作用。
社會懈怠,當個體在簡單任務的生產量在團體中合併時，所造成團體生產量減少的現象。
集體努力模式,個體願意付出努力來做集體的工作，乃取決於他們認為個人的努力對於達成他們重視結果的重要性、相關性、以及有意義的程度。
去個人化,對個人個體感的喪失，會降低對偏差行為的常規約束。
去個人化效應的社會身分模式,一個解釋去個人化效應的團體行為模式，認為去個人化是將個人認同轉移到社會認同上。
歷程損失,因為團體歷程造成的障礙使得團體表現降低，例如協調和動機的問題
歷程得益,團體表現提升，使得團體的表現勝過組成該團體的個人。
腦力激盪,一種嘗試增加創造性思考產物的技術，方法是鼓勵團體成員自由地表達，不批判自己或他人的想法。
團體極化,透過團體討論的過程會激化團體成員起初的思考傾向。
團體迷思,團體決策的風格為過度傾向尋求團體成員間的一致性。
抽樣偏誤,團體傾向於花較多時間討論已經分享的訊息（所有或大多數團體成員已經知道的訊息），而不是尚未分享的訊息（只有一位或少數團體成員知道的訊息）。
會報記憶,記憶資訊的共享系統，能讓多人共同記憶比獨自所能記憶更多的資訊。
團體支持系統,一種被用來引導團體會議、協同工作、與決策過程的特殊化互動式電腦程式。
集體智慧,一個團體在各種作業上均表現良好的能力。
社會困境,在此情境下，人人維護自己利益的自私選擇會導致每個人最糟糕的結果。
囚犯困境,一種困境的形態，一方當事者必須決定和相關的另一方合作或競爭。典型的設計方式是，競爭行動是對任一方都較為有利的，但是如果雙方都採取此競爭行動，則雙方情況會比採取合作行動來得更糟糕。
資源困境,涉及兩個人以上，如何分配有限資源的社會困境。
整合性協議,對於衝突的一種協商解決方法，各方當事人所獲得的結果，優於他們從一個競爭性資源中所獲得的均等結果。
親和需求,渴望建立和維護充滿回報的人際關係。
寂寞,現存社會關係被剝奪的感覺。
曝光效應,當人們經常暴露於某一刺激，他們會給予那刺激更正面評價的現象。
美就是好的刻板印象,認為外貌吸引人者亦擁有令人滿意的個性特徵的一種信念。
匹配假說,人們被那些在某些特徵上面，譬如身體吸引力方面與他們相似的人所吸引並建立關係。
互惠,在我們所給予和接受之間相互交換，例如：喜歡那些喜歡我們的人。
難得為寶效應,人們傾向於偏愛在社會選擇上具高度選擇性者，勝於輕易可到手的對象。
親密關係,兩個成人之間密切的關係，包含：情感的依附、心理需求的滿足、和相互依賴。
社會交換理論,認為人們具有動機，在與別人的關係之中以最小的付出而得到最大的收穫。
公平理論,當兩個伴侶之間所得好處和付出貢獻的比率相似時，人們對關係最為滿意。
交換關係,在一個關係中，參與者期待並渴望互惠對等的關係。
共享關係,在一個關係中，參與者期待並渴望相互滿足對方的需求。
依附風格,人們與重要他人互動的典型方式。
愛情三角理論,此理論認為愛有3個基本的成分：親密、激情、承諾，並可依此3種成分組合而成愛情的8種次類型。
激情愛,特徵為高度激發、強烈的吸引力、和害怕被拒絕的浪漫愛。
友伴愛,一種安全、信任、穩定的關系。
興奮轉移,由一刺激造成的興奮激發，會加在第二刺激所造成的興奮之中，而由此第一和第二刺激聯合造成的興奮，則被歸因於第二刺激。
自我揭露,個人對其他人透露其自我。
性取向,個人對同性伴侶（同性戀）、異性伴侶（異性戀）、或兩性伴侶（雙性戀）的偏好。